CPU (%),RAM (%)
20.8,59.6
13.7,59.6
11.2,59.5
11.2,59.7
10.8,59.6
13.6,59.5
25.0,60.5
33.3,60.5
8.3,60.7
8.3,60.8
16.7,60.6
8.3,60.4
16.7,60.4
8.3,60.4
16.7,60.3
8.3,60.4
8.3,60.4
66.7,60.4
25.0,60.4
8.3,60.4
8.3,60.4
16.7,60.4
8.3,60.3
30.8,60.3
25.0,60.4
16.7,60.3
50.0,60.4
8.3,60.3
33.3,60.4
25.0,60.4
8.3,60.4
16.7,60.4
25.0,60.3
16.7,60.3
25.0,60.3
58.3,60.4
25.0,60.4
41.7,60.4
8.3,60.5
16.7,60.5
8.3,60.5
8.3,60.4
25.0,60.5
8.3,60.4
8.3,60.4
8.3,60.5
25.0,60.5
8.3,60.5
16.7,60.5
25.0,60.5
16.7,60.5
8.3,60.5
50.0,60.5
50.0,60.5
8.3,60.5
50.0,60.5
8.3,60.5
16.7,60.5
25.0,60.5
8.3,60.4
25.0,60.5
8.3,60.4
8.3,60.5
8.3,60.5
16.7,60.5
8.3,60.4
8.3,60.4
33.3,60.5
16.7,60.4
8.3,60.5
16.7,60.5
16.7,60.5
8.3,60.5
23.1,60.5
8.3,60.5
25.0,60.4
41.7,60.5
8.3,60.5
50.0,60.5
16.7,60.5
8.3,60.5
50.0,60.5
25.0,60.4
8.3,60.5
25.0,60.5
33.3,60.5
33.3,60.5
8.3,60.5
8.3,60.5
16.7,60.5
8.3,60.4
8.3,60.5
8.3,60.4
16.7,60.4
12.5,60.4
8.3,60.4
16.7,60.4
8.3,60.3
8.3,60.4
8.3,60.4
16.7,60.4
8.3,60.4
9.1,60.4
33.3,60.4
16.7,60.3
38.5,60.4
16.7,60.4
16.7,60.4
8.3,60.4
8.3,60.4
33.3,60.4
16.7,60.4
16.7,60.4
16.7,60.4
83.3,60.4
16.7,60.4
41.7,60.4
33.3,60.4
16.7,60.4
8.3,60.4
8.3,60.4
25.0,60.5
8.3,60.4
8.3,60.4
8.3,60.4
16.7,60.4
8.3,60.4
8.3,60.3
53.8,60.3
25.0,60.3
25.0,60.3
8.3,60.3
25.0,60.3
8.3,60.3
16.7,60.4
50.0,60.3
41.7,60.4
16.7,60.4
25.0,60.3
75.0,60.4
25.0,60.4
16.7,60.3
58.3,60.3
33.3,60.3
8.3,60.3
8.3,60.3
25.0,60.3
16.7,60.3
8.3,60.3
16.7,60.4
16.7,60.4
16.7,60.4
16.7,60.4
16.7,60.4
8.3,60.4
8.3,60.4
8.3,60.4
41.7,60.4
30.0,60.4
8.3,60.2
16.7,60.3
8.3,60.3
8.3,60.4
8.3,60.5
25.0,60.6
8.3,60.7
33.3,60.8
66.7,60.9
50.0,60.8
58.3,60.6
16.7,60.7
41.7,60.5
16.7,60.3
16.7,60.3
25.0,60.3
33.3,60.3
8.3,60.3
61.5,60.3
16.7,60.3
12.5,60.3
8.3,60.3
16.7,60.3
0.0,60.3
25.0,60.4
8.3,60.4
16.7,60.4
25.0,60.4
16.7,60.4
25.0,60.4
8.3,60.3
8.3,60.4
8.3,60.4
16.7,60.4
8.3,60.4
8.3,60.4
38.5,60.4
16.7,60.4
8.3,60.4
8.3,60.4
16.7,60.4
8.3,60.4
8.3,60.4
8.3,60.4
16.7,60.4
7.7,60.4
8.3,60.4
16.7,60.4
8.3,60.4
8.3,60.4
8.3,60.4
16.7,60.3
8.3,60.4
8.3,60.3
25.0,60.4
8.3,60.4
8.3,60.3
8.3,60.4
16.7,60.4
9.1,60.3
8.3,60.4
25.0,60.3
16.7,60.3
8.3,60.3
8.3,60.3
16.7,60.3
21.4,60.2
25.0,60.3
16.7,60.3
25.0,60.3
8.3,60.2
7.7,60.2
16.7,60.2
8.3,60.3
8.3,60.3
8.3,60.3
41.7,60.3
8.3,60.2
16.7,60.3
25.0,60.3
16.7,60.4
8.3,60.4
25.0,60.3
16.7,60.4
33.3,60.4
25.0,60.4
33.3,60.4
41.7,60.4
46.2,60.4
16.7,60.4
25.0,60.4
25.0,60.4
16.7,60.4
25.0,60.4
16.7,60.4
16.7,60.4
16.7,60.4
16.7,60.4
8.3,60.4
8.3,60.3
8.3,60.4
16.7,60.3
30.8,60.3
8.3,60.3
16.7,60.3
8.3,60.3
7.7,60.3
8.3,60.3
58.3,60.3
8.3,60.2
8.3,60.2
33.3,60.3
8.3,60.2
8.3,60.2
8.3,60.4
16.7,60.3
8.3,60.3
25.0,60.3
25.0,60.3
16.7,60.3
58.3,60.3
8.3,60.3
16.7,60.3
8.3,60.4
25.0,60.3
0.0,60.3
53.8,60.3
8.3,60.3
8.3,60.3
25.0,60.3
8.3,60.4
8.3,60.3
8.3,60.3
16.7,60.4
8.3,60.3
8.3,60.3
25.0,60.4
16.7,60.3
8.3,60.4
7.1,60.4
33.3,60.3
8.3,60.4
